year,month,country,category,final_action_date,filing_date
2002,4,Rest-of-World,F1,,1999-03-01
2002,4,Rest-of-World,F2A,,1996-12-08
2002,4,Rest-of-World,F2B,,1993-08-08
2002,4,Rest-of-World,F3,,1996-06-01
2002,4,Rest-of-World,F4,,1990-02-15
2002,4,Rest-of-World,EB1,,2002-04-01
2002,4,Rest-of-World,EB2,,2002-04-01
2002,4,Rest-of-World,EB3,,2002-04-01
2002,4,Rest-of-World,EB-Other,,2002-04-01
2002,4,Rest-of-World,EB4,,2002-04-01
2002,4,Rest-of-World,EB-Religious,,2002-04-01
2002,4,Rest-of-World,EB5,,2002-04-01
2002,4,Rest-of-World,EB5-Targeted-Employment,,2002-04-01
2002,4,India,F1,,1999-03-01
2002,4,India,F2A,,1996-12-08
2002,4,India,F2B,,1993-08-08
2002,4,India,F3,,1996-06-01
2002,4,India,F4,,1989-03-15
2002,4,India,EB1,,2002-04-01
2002,4,India,EB2,,2002-04-01
2002,4,India,EB3,,2002-04-01
2002,4,India,EB-Other,,2002-04-01
2002,4,India,EB4,,2002-04-01
2002,4,India,EB-Religious,,2002-04-01
2002,4,India,EB5,,2002-04-01
2002,4,India,EB5-Targeted-Employment,,2002-04-01
2002,4,Mexico,F1,,
2002,4,Mexico,F2A,,1994-10-22
2002,4,Mexico,F2B,,
2002,4,Mexico,F3,,1992-07-01
2002,4,Mexico,F4,,1990-02-15
2002,4,Mexico,EB1,,2002-04-01
2002,4,Mexico,EB2,,2002-04-01
2002,4,Mexico,EB3,,2002-04-01
2002,4,Mexico,EB-Other,,2002-04-01
2002,4,Mexico,EB4,,2002-04-01
2002,4,Mexico,EB-Religious,,2002-04-01
2002,4,Mexico,EB5,,2002-04-01
2002,4,Mexico,EB5-Targeted-Employment,,2002-04-01
2002,4,Philippines,F1,,1988-12-01
2002,4,Philippines,F2A,,1996-12-08
2002,4,Philippines,F2B,,1993-08-08
2002,4,Philippines,F3,,1988-08-15
2002,4,Philippines,F4,,1980-03-01
2002,4,Philippines,EB1,,2002-04-01
2002,4,Philippines,EB2,,2002-04-01
2002,4,Philippines,EB3,,2002-04-01
2002,4,Philippines,EB-Other,,2002-04-01
2002,4,Philippines,EB4,,2002-04-01
2002,4,Philippines,EB-Religious,,2002-04-01
2002,4,Philippines,EB5,,2002-04-01
2002,4,Philippines,EB5-Targeted-Employment,,2002-04-01
