year,month,country,category,final_action_date,filing_date
2006,12,Rest-of-World,F1,,2001-04-22
2006,12,Rest-of-World,F2A,,2002-03-01
2006,12,Rest-of-World,F2B,,1997-03-08
2006,12,Rest-of-World,F3,,1998-12-08
2006,12,Rest-of-World,F4,,1995-12-01
2006,12,Rest-of-World,EB1,,2006-12-01
2006,12,Rest-of-World,EB2,,2006-12-01
2006,12,Rest-of-World,EB3,,2002-08-01
2006,12,Rest-of-World,EB-Schedule-A,,
2006,12,Rest-of-World,EB-Other,,2001-10-01
2006,12,Rest-of-World,EB4,,2006-12-01
2006,12,Rest-of-World,EB-Religious,,2006-12-01
2006,12,Rest-of-World,EB-Iraqi-Afghani-Translators,,2006-09-18
2006,12,Rest-of-World,EB5,,2006-12-01
2006,12,Rest-of-World,EB5-Targeted-Employment,,2006-12-01
2006,12,China,F1,,2001-04-22
2006,12,China,F2A,,2002-03-01
2006,12,China,F2B,,1997-03-08
2006,12,China,F3,,1998-12-08
2006,12,China,F4,,1995-05-22
2006,12,China,EB1,,2006-12-01
2006,12,China,EB2,,2005-04-22
2006,12,China,EB3,,2002-08-01
2006,12,China,EB-Schedule-A,,
2006,12,China,EB-Other,,2001-10-01
2006,12,China,EB4,,2006-12-01
2006,12,China,EB-Religious,,2006-12-01
2006,12,China,EB-Iraqi-Afghani-Translators,,2006-09-18
2006,12,China,EB5,,2006-12-01
2006,12,China,EB5-Targeted-Employment,,2006-12-01
2006,12,India,F1,,2001-04-22
2006,12,India,F2A,,2002-03-01
2006,12,India,F2B,,1997-03-08
2006,12,India,F3,,1998-12-08
2006,12,India,F4,,1995-09-22
2006,12,India,EB1,,2006-12-01
2006,12,India,EB2,,2003-01-08
2006,12,India,EB3,,2001-04-22
2006,12,India,EB-Schedule-A,,
2006,12,India,EB-Other,,2001-10-01
2006,12,India,EB4,,2006-12-01
2006,12,India,EB-Religious,,2006-12-01
2006,12,India,EB-Iraqi-Afghani-Translators,,2006-09-18
2006,12,India,EB5,,2006-12-01
2006,12,India,EB5-Targeted-Employment,,2006-12-01
2006,12,Mexico,F1,,1994-01-01
2006,12,Mexico,F2A,,2000-01-15
2006,12,Mexico,F2B,,1992-03-01
2006,12,Mexico,F3,,1995-01-01
2006,12,Mexico,F4,,1993-11-22
2006,12,Mexico,EB1,,2006-12-01
2006,12,Mexico,EB2,,2006-12-01
2006,12,Mexico,EB3,,2001-05-08
2006,12,Mexico,EB-Schedule-A,,
2006,12,Mexico,EB-Other,,2001-10-01
2006,12,Mexico,EB4,,2006-12-01
2006,12,Mexico,EB-Religious,,2006-12-01
2006,12,Mexico,EB-Iraqi-Afghani-Translators,,2006-09-18
2006,12,Mexico,EB5,,2006-12-01
2006,12,Mexico,EB5-Targeted-Employment,,2006-12-01
2006,12,Philippines,F1,,1991-12-01
2006,12,Philippines,F2A,,2002-03-01
2006,12,Philippines,F2B,,1996-08-22
2006,12,Philippines,F3,,1991-02-08
2006,12,Philippines,F4,,1984-06-01
2006,12,Philippines,EB1,,2006-12-01
2006,12,Philippines,EB2,,2006-12-01
2006,12,Philippines,EB3,,2002-08-01
2006,12,Philippines,EB-Schedule-A,,
2006,12,Philippines,EB-Other,,2001-10-01
2006,12,Philippines,EB4,,2006-12-01
2006,12,Philippines,EB-Religious,,2006-12-01
2006,12,Philippines,EB-Iraqi-Afghani-Translators,,2006-09-18
2006,12,Philippines,EB5,,2006-12-01
2006,12,Philippines,EB5-Targeted-Employment,,2006-12-01
