year,month,country,category,final_action_date,filing_date
2007,7,Rest-of-World,F1,,2001-07-01
2007,7,Rest-of-World,F2A,,2002-06-01
2007,7,Rest-of-World,F2B,,1998-02-08
2007,7,Rest-of-World,F3,,1999-07-15
2007,7,Rest-of-World,F4,,1996-08-01
2007,7,Rest-of-World,EB1,,2007-07-01
2007,7,Rest-of-World,EB2,,2007-07-01
2007,7,Rest-of-World,EB3,,2007-07-01
2007,7,Rest-of-World,EB-Other,,
2007,7,Rest-of-World,EB4,,2007-07-01
2007,7,Rest-of-World,EB-Religious,,2007-07-01
2007,7,Rest-of-World,EB-Iraqi-Afghani-Translators,,2007-07-01
2007,7,Rest-of-World,EB5,,2007-07-01
2007,7,Rest-of-World,EB5-Targeted-Employment,,2007-07-01
2007,7,China,F1,,2001-07-01
2007,7,China,F2A,,2002-06-01
2007,7,China,F2B,,1998-02-08
2007,7,China,F3,,1999-07-15
2007,7,China,F4,,1996-03-01
2007,7,China,EB1,,2007-07-01
2007,7,China,EB2,,2007-07-01
2007,7,China,EB3,,2007-07-01
2007,7,China,EB-Other,,
2007,7,China,EB4,,2007-07-01
2007,7,China,EB-Religious,,2007-07-01
2007,7,China,EB-Iraqi-Afghani-Translators,,2007-07-01
2007,7,China,EB5,,2007-07-01
2007,7,China,EB5-Targeted-Employment,,2007-07-01
2007,7,India,F1,,2001-07-01
2007,7,India,F2A,,2002-06-01
2007,7,India,F2B,,1998-06-08
2007,7,India,F3,,1999-07-15
2007,7,India,F4,,1996-02-08
2007,7,India,EB1,,2007-07-01
2007,7,India,EB2,,2007-07-01
2007,7,India,EB3,,2007-07-01
2007,7,India,EB-Other,,
2007,7,India,EB4,,2007-07-01
2007,7,India,EB-Religious,,2007-07-01
2007,7,India,EB-Iraqi-Afghani-Translators,,2007-07-01
2007,7,India,EB5,,2007-07-01
2007,7,India,EB5-Targeted-Employment,,2007-07-01
2007,7,Mexico,F1,,1991-01-01
2007,7,Mexico,F2A,,2001-08-01
2007,7,Mexico,F2B,,1992-03-08
2007,7,Mexico,F3,,1988-02-08
2007,7,Mexico,F4,,1994-07-22
2007,7,Mexico,EB1,,2007-07-01
2007,7,Mexico,EB2,,2007-07-01
2007,7,Mexico,EB3,,2007-07-01
2007,7,Mexico,EB-Other,,
2007,7,Mexico,EB4,,2007-07-01
2007,7,Mexico,EB-Religious,,2007-07-01
2007,7,Mexico,EB-Iraqi-Afghani-Translators,,2007-07-01
2007,7,Mexico,EB5,,2007-07-01
2007,7,Mexico,EB5-Targeted-Employment,,2007-07-01
2007,7,Philippines,F1,,1992-04-22
2007,7,Philippines,F2A,,2002-06-01
2007,7,Philippines,F2B,,1996-10-01
2007,7,Philippines,F3,,1985-01-01
2007,7,Philippines,F4,,1985-04-01
2007,7,Philippines,EB1,,2007-07-01
2007,7,Philippines,EB2,,2007-07-01
2007,7,Philippines,EB3,,2007-07-01
2007,7,Philippines,EB-Other,,
2007,7,Philippines,EB4,,2007-07-01
2007,7,Philippines,EB-Religious,,2007-07-01
2007,7,Philippines,EB-Iraqi-Afghani-Translators,,2007-07-01
2007,7,Philippines,EB5,,2007-07-01
2007,7,Philippines,EB5-Targeted-Employment,,2007-07-01
