year,month,country,category,final_action_date,filing_date
2008,9,Rest-of-World,F1,,2002-04-01
2008,9,Rest-of-World,F2A,,2003-12-01
2008,9,Rest-of-World,F2B,,1999-12-15
2008,9,Rest-of-World,F3,,2000-06-15
2008,9,Rest-of-World,F4,,1997-10-01
2008,9,Rest-of-World,EB1,,2008-09-01
2008,9,Rest-of-World,EB2,,2008-09-01
2008,9,Rest-of-World,EB3,,
2008,9,Rest-of-World,EB-Other,,
2008,9,Rest-of-World,EB4,,2008-09-01
2008,9,Rest-of-World,EB-Religious,,2008-09-01
2008,9,Rest-of-World,EB5,,2008-09-01
2008,9,Rest-of-World,EB5-Targeted-Employment,,2008-09-01
2008,9,China,F1,,2002-04-01
2008,9,China,F2A,,2003-12-01
2008,9,China,F2B,,1999-12-15
2008,9,China,F3,,2000-06-15
2008,9,China,F4,,1997-04-08
2008,9,China,EB1,,2008-09-01
2008,9,China,EB2,,2006-08-01
2008,9,China,EB3,,
2008,9,China,EB-Other,,
2008,9,China,EB4,,2008-09-01
2008,9,China,EB-Religious,,2008-09-01
2008,9,China,EB5,,2008-09-01
2008,9,China,EB5-Targeted-Employment,,2008-09-01
2008,9,India,F1,,2002-04-01
2008,9,India,F2A,,2003-12-01
2008,9,India,F2B,,1999-12-15
2008,9,India,F3,,2000-06-15
2008,9,India,F4,,1997-04-08
2008,9,India,EB1,,2008-09-01
2008,9,India,EB2,,2006-08-01
2008,9,India,EB3,,
2008,9,India,EB-Other,,
2008,9,India,EB4,,2008-09-01
2008,9,India,EB-Religious,,2008-09-01
2008,9,India,EB5,,2008-09-01
2008,9,India,EB5-Targeted-Employment,,2008-09-01
2008,9,Mexico,F1,,1992-09-08
2008,9,Mexico,F2A,,
2008,9,Mexico,F2B,,1992-04-22
2008,9,Mexico,F3,,1992-09-15
2008,9,Mexico,F4,,1995-01-15
2008,9,Mexico,EB1,,2008-09-01
2008,9,Mexico,EB2,,2008-09-01
2008,9,Mexico,EB3,,
2008,9,Mexico,EB-Other,,
2008,9,Mexico,EB4,,2008-09-01
2008,9,Mexico,EB-Religious,,2008-09-01
2008,9,Mexico,EB5,,2008-09-01
2008,9,Mexico,EB5-Targeted-Employment,,2008-09-01
2008,9,Philippines,F1,,1993-04-01
2008,9,Philippines,F2A,,2003-12-01
2008,9,Philippines,F2B,,1997-04-08
2008,9,Philippines,F3,,1991-04-22
2008,9,Philippines,F4,,1986-03-08
2008,9,Philippines,EB1,,2008-09-01
2008,9,Philippines,EB2,,2008-09-01
2008,9,Philippines,EB3,,
2008,9,Philippines,EB-Other,,
2008,9,Philippines,EB4,,2008-09-01
2008,9,Philippines,EB-Religious,,2008-09-01
2008,9,Philippines,EB5,,2008-09-01
2008,9,Philippines,EB5-Targeted-Employment,,2008-09-01
