year,month,country,category,final_action_date,filing_date
2010,5,Rest-of-World,F1,,2004-09-08
2010,5,Rest-of-World,F2A,,2006-12-01
2010,5,Rest-of-World,F2B,,2002-07-01
2010,5,Rest-of-World,F3,,2001-06-08
2010,5,Rest-of-World,F4,,2000-05-15
2010,5,Rest-of-World,EB1,,2010-05-01
2010,5,Rest-of-World,EB2,,2010-05-01
2010,5,Rest-of-World,EB3,,2003-04-22
2010,5,Rest-of-World,EB-Other,,2001-06-01
2010,5,Rest-of-World,EB4,,2010-05-01
2010,5,Rest-of-World,EB-Religious,,2010-05-01
2010,5,Rest-of-World,EB5,,2010-05-01
2010,5,Rest-of-World,EB5-Targeted-Employment,,2010-05-01
2010,5,Rest-of-World,EB5-Pilot-Programs,,2010-05-01
2010,5,China,F1,,2004-09-08
2010,5,China,F2A,,2006-12-01
2010,5,China,F2B,,2002-07-01
2010,5,China,F3,,2001-06-08
2010,5,China,F4,,2000-05-15
2010,5,China,EB1,,2010-05-01
2010,5,China,EB2,,2005-09-22
2010,5,China,EB3,,2003-04-22
2010,5,China,EB-Other,,2001-06-01
2010,5,China,EB4,,2010-05-01
2010,5,China,EB-Religious,,2010-05-01
2010,5,China,EB5,,2010-05-01
2010,5,China,EB5-Targeted-Employment,,2010-05-01
2010,5,China,EB5-Pilot-Programs,,2010-05-01
2010,5,India,F1,,2004-09-08
2010,5,India,F2A,,2006-12-01
2010,5,India,F2B,,2002-07-01
2010,5,India,F3,,2001-06-08
2010,5,India,F4,,2000-05-15
2010,5,India,EB1,,2010-05-01
2010,5,India,EB2,,2005-02-01
2010,5,India,EB3,,2001-10-01
2010,5,India,EB-Other,,2001-06-01
2010,5,India,EB4,,2010-05-01
2010,5,India,EB-Religious,,2010-05-01
2010,5,India,EB5,,2010-05-01
2010,5,India,EB5-Targeted-Employment,,2010-05-01
2010,5,India,EB5-Pilot-Programs,,2010-05-01
2010,5,Mexico,F1,,1992-10-15
2010,5,Mexico,F2A,,2005-06-01
2010,5,Mexico,F2B,,1992-06-15
2010,5,Mexico,F3,,1992-10-22
2010,5,Mexico,F4,,1995-12-08
2010,5,Mexico,EB1,,2010-05-01
2010,5,Mexico,EB2,,2010-05-01
2010,5,Mexico,EB3,,
2010,5,Mexico,EB-Other,,
2010,5,Mexico,EB4,,2010-05-01
2010,5,Mexico,EB-Religious,,2010-05-01
2010,5,Mexico,EB5,,2010-05-01
2010,5,Mexico,EB5-Targeted-Employment,,2010-05-01
2010,5,Mexico,EB5-Pilot-Programs,,2010-05-01
2010,5,Philippines,F1,,1994-11-01
2010,5,Philippines,F2A,,2006-12-01
2010,5,Philippines,F2B,,1998-11-15
2010,5,Philippines,F3,,1992-05-01
2010,5,Philippines,F4,,1987-12-08
2010,5,Philippines,EB1,,2010-05-01
2010,5,Philippines,EB2,,2010-05-01
2010,5,Philippines,EB3,,2003-04-22
2010,5,Philippines,EB-Other,,2001-06-01
2010,5,Philippines,EB4,,2010-05-01
2010,5,Philippines,EB-Religious,,2010-05-01
2010,5,Philippines,EB5,,2010-05-01
2010,5,Philippines,EB5-Targeted-Employment,,2010-05-01
2010,5,Philippines,EB5-Pilot-Programs,,2010-05-01
