year,month,country,category,final_action_date,filing_date
2012,10,Rest-of-World,F1,,2005-10-08
2012,10,Rest-of-World,F2A,,2010-06-01
2012,10,Rest-of-World,F2B,,2004-09-15
2012,10,Rest-of-World,F3,,2002-05-22
2012,10,Rest-of-World,F4,,2001-03-15
2012,10,Rest-of-World,EB1,,2012-10-01
2012,10,Rest-of-World,EB2,,2012-01-01
2012,10,Rest-of-World,EB3,,2006-10-22
2012,10,Rest-of-World,EB-Other,,2006-10-22
2012,10,Rest-of-World,EB4,,2012-10-01
2012,10,Rest-of-World,EB-Religious,,
2012,10,Rest-of-World,EB5-Targeted-Employment,,2012-10-01
2012,10,Rest-of-World,EB5-Pilot-Programs,,
2012,10,China,F1,,2005-10-08
2012,10,China,F2A,,2010-06-01
2012,10,China,F2B,,2004-09-15
2012,10,China,F3,,2002-05-22
2012,10,China,F4,,2001-02-15
2012,10,China,EB1,,2012-10-01
2012,10,China,EB2,,2007-07-15
2012,10,China,EB3,,2006-02-08
2012,10,China,EB-Other,,2003-06-22
2012,10,China,EB4,,2012-10-01
2012,10,China,EB-Religious,,
2012,10,China,EB5-Targeted-Employment,,2012-10-01
2012,10,China,EB5-Pilot-Programs,,
2012,10,India,F1,,2005-10-08
2012,10,India,F2A,,2010-06-01
2012,10,India,F2B,,2004-09-15
2012,10,India,F3,,2002-05-22
2012,10,India,F4,,2001-03-15
2012,10,India,EB1,,2012-10-01
2012,10,India,EB2,,2004-09-01
2012,10,India,EB3,,2002-10-15
2012,10,India,EB-Other,,2002-10-15
2012,10,India,EB4,,2012-10-01
2012,10,India,EB-Religious,,
2012,10,India,EB5-Targeted-Employment,,2012-10-01
2012,10,India,EB5-Pilot-Programs,,
2012,10,Mexico,F1,,1993-06-15
2012,10,Mexico,F2A,,2010-05-15
2012,10,Mexico,F2B,,1992-10-01
2012,10,Mexico,F3,,1993-02-08
2012,10,Mexico,F4,,1996-06-22
2012,10,Mexico,EB1,,2012-10-01
2012,10,Mexico,EB2,,2012-01-01
2012,10,Mexico,EB3,,2006-10-22
2012,10,Mexico,EB-Other,,2006-10-22
2012,10,Mexico,EB4,,2012-10-01
2012,10,Mexico,EB-Religious,,
2012,10,Mexico,EB5-Targeted-Employment,,2012-10-01
2012,10,Mexico,EB5-Pilot-Programs,,
2012,10,Philippines,F1,,1996-04-01
2012,10,Philippines,F2A,,2010-06-01
2012,10,Philippines,F2B,,2002-01-22
2012,10,Philippines,F3,,1992-07-22
2012,10,Philippines,F4,,1989-02-08
2012,10,Philippines,EB1,,2012-10-01
2012,10,Philippines,EB2,,2012-01-01
2012,10,Philippines,EB3,,2006-08-01
2012,10,Philippines,EB-Other,,2006-08-01
2012,10,Philippines,EB4,,2012-10-01
2012,10,Philippines,EB-Religious,,
2012,10,Philippines,EB5-Targeted-Employment,,2012-10-01
2012,10,Philippines,EB5-Pilot-Programs,,
