year,month,country,category,final_action_date,filing_date
2017,9,Rest-of-World,F1,2010-05-01,2011-07-22
2017,9,Rest-of-World,F2A,2015-10-01,2016-04-08
2017,9,Rest-of-World,F2B,2010-11-01,2011-09-01
2017,9,Rest-of-World,F3,2005-07-08,2005-12-01
2017,9,Rest-of-World,F4,2002-01-01,2004-11-15
2017,9,Rest-of-World,EB1,2017-09-01,2017-09-01
2017,9,Rest-of-World,EB2,2016-01-01,2017-09-01
2017,9,Rest-of-World,EB3,2017-09-01,2017-09-01
2017,9,Rest-of-World,EB-Other,2017-09-01,2017-09-01
2017,9,Rest-of-World,EB4,2017-09-01,2017-09-01
2017,9,Rest-of-World,EB-Religious,2017-09-01,2017-09-01
2017,9,Rest-of-World,EB5-Non-Regional-Center,2017-09-01,2017-09-01
2017,9,Rest-of-World,EB5-Regional-Center,2017-09-01,2017-09-01
2017,9,China,F1,2010-05-01,2011-07-22
2017,9,China,F2A,2015-10-01,2016-04-08
2017,9,China,F2B,2010-11-01,2011-09-01
2017,9,China,F3,2005-07-08,2005-12-01
2017,9,China,F4,2002-01-01,2004-11-15
2017,9,China,EB1,2012-01-01,2017-09-01
2017,9,China,EB2,2013-05-15,2013-10-01
2017,9,China,EB3,2012-01-01,2015-09-01
2017,9,China,EB-Other,2004-01-01,2008-06-01
2017,9,China,EB4,2017-09-01,2017-09-01
2017,9,China,EB-Religious,2017-09-01,2017-09-01
2017,9,China,EB5-Non-Regional-Center,2014-06-15,2014-09-01
2017,9,China,EB5-Regional-Center,2014-06-15,2014-09-01
2017,9,India,F1,2010-05-01,2011-07-22
2017,9,India,F2A,2015-10-01,2016-04-08
2017,9,India,F2B,2010-11-01,2011-09-01
2017,9,India,F3,2005-07-08,2005-12-01
2017,9,India,F4,2002-01-01,2004-06-22
2017,9,India,EB1,2012-01-01,2017-09-01
2017,9,India,EB2,2008-08-22,2009-02-01
2017,9,India,EB3,2006-10-15,2007-01-01
2017,9,India,EB-Other,2006-10-15,2007-01-01
2017,9,India,EB4,2015-10-22,2017-09-01
2017,9,India,EB-Religious,2015-10-22,2017-09-01
2017,9,India,EB5-Non-Regional-Center,2017-09-01,2017-09-01
2017,9,India,EB5-Regional-Center,2017-09-01,2017-09-01
2017,9,Mexico,F1,1996-02-01,1996-04-01
2017,9,Mexico,F2A,2015-09-22,2016-04-08
2017,9,Mexico,F2B,1996-07-01,1996-08-08
2017,9,Mexico,F3,1995-04-08,1995-05-01
2017,9,Mexico,F4,1997-09-15,1998-01-08
2017,9,Mexico,EB1,2017-09-01,2017-09-01
2017,9,Mexico,EB2,2016-01-01,2017-09-01
2017,9,Mexico,EB3,2017-09-01,2017-09-01
2017,9,Mexico,EB-Other,2017-09-01,2017-09-01
2017,9,Mexico,EB4,2015-10-22,2017-09-01
2017,9,Mexico,EB-Religious,2015-10-22,2017-09-01
2017,9,Mexico,EB5-Non-Regional-Center,2017-09-01,2017-09-01
2017,9,Mexico,EB5-Regional-Center,2017-09-01,2017-09-01
2017,9,Philippines,F1,2007-01-01,2007-09-08
2017,9,Philippines,F2A,2015-10-01,2016-04-08
2017,9,Philippines,F2B,2007-01-01,2007-07-22
2017,9,Philippines,F3,1995-02-15,1995-03-01
2017,9,Philippines,F4,1994-06-01,1995-02-08
2017,9,Philippines,EB1,2017-09-01,2017-09-01
2017,9,Philippines,EB2,2016-01-01,2017-09-01
2017,9,Philippines,EB3,2015-11-01,2016-01-01
2017,9,Philippines,EB-Other,2015-11-01,2016-01-01
2017,9,Philippines,EB4,2017-09-01,2017-09-01
2017,9,Philippines,EB-Religious,2017-09-01,2017-09-01
2017,9,Philippines,EB5-Non-Regional-Center,2017-09-01,2017-09-01
2017,9,Philippines,EB5-Regional-Center,2017-09-01,2017-09-01
2017,9,El Salvador/Guatemala/Honduras,EB1,2017-09-01,
2017,9,El Salvador/Guatemala/Honduras,EB2,2016-01-01,
2017,9,El Salvador/Guatemala/Honduras,EB3,2017-09-01,
2017,9,El Salvador/Guatemala/Honduras,EB-Other,2017-09-01,
2017,9,El Salvador/Guatemala/Honduras,EB4,2015-10-22,
2017,9,El Salvador/Guatemala/Honduras,EB-Religious,2015-10-22,
2017,9,El Salvador/Guatemala/Honduras,EB5-Non-Regional-Center,2017-09-01,
2017,9,El Salvador/Guatemala/Honduras,EB5-Regional-Center,2017-09-01,
