year,month,country,category,final_action_date,filing_date
2018,5,Rest-of-World,F1,2011-04-08,2012-01-08
2018,5,Rest-of-World,F2A,2016-06-01,2017-09-22
2018,5,Rest-of-World,F2B,2011-05-15,2011-09-08
2018,5,Rest-of-World,F3,2006-02-01,2006-09-08
2018,5,Rest-of-World,F4,2004-10-01,2005-04-01
2018,5,Rest-of-World,EB1,2018-05-01,2018-05-01
2018,5,Rest-of-World,EB2,2018-05-01,2018-05-01
2018,5,Rest-of-World,EB3,2018-05-01,2018-05-01
2018,5,Rest-of-World,EB-Other,2018-05-01,2018-05-01
2018,5,Rest-of-World,EB4,2018-05-01,2018-05-01
2018,5,Rest-of-World,EB-Religious,2018-05-01,2018-05-01
2018,5,Rest-of-World,EB5-Non-Regional-Center,2018-05-01,2018-05-01
2018,5,Rest-of-World,EB5-Regional-Center,2018-05-01,2018-05-01
2018,5,China,F1,2011-04-08,2012-01-08
2018,5,China,F2A,2016-06-01,2017-09-22
2018,5,China,F2B,2011-05-15,2011-09-08
2018,5,China,F3,2006-02-01,2006-09-08
2018,5,China,F4,2004-10-01,2005-04-01
2018,5,China,EB1,2012-01-01,2018-05-01
2018,5,China,EB2,2014-09-01,2015-02-01
2018,5,China,EB3,2015-06-01,2016-01-01
2018,5,China,EB-Other,2007-05-01,2008-06-01
2018,5,China,EB4,2018-05-01,2018-05-01
2018,5,China,EB-Religious,2018-05-01,2018-05-01
2018,5,China,EB5-Non-Regional-Center,2014-07-22,2014-09-01
2018,5,China,EB5-Regional-Center,2014-07-22,2014-09-01
2018,5,India,F1,2011-04-08,2012-01-08
2018,5,India,F2A,2016-06-01,2017-09-22
2018,5,India,F2B,2011-05-15,2011-09-08
2018,5,India,F3,2006-02-01,2006-09-08
2018,5,India,F4,2004-03-01,2004-12-01
2018,5,India,EB1,2012-01-01,2018-05-01
2018,5,India,EB2,2008-12-22,2009-04-01
2018,5,India,EB3,2008-05-01,2008-09-01
2018,5,India,EB-Other,2008-05-01,2008-09-01
2018,5,India,EB4,2018-05-01,2018-05-01
2018,5,India,EB-Religious,2018-05-01,2018-05-01
2018,5,India,EB5-Non-Regional-Center,2018-05-01,2018-05-01
2018,5,India,EB5-Regional-Center,2018-05-01,2018-05-01
2018,5,Mexico,F1,1996-11-15,1998-07-15
2018,5,Mexico,F2A,2016-04-22,2017-09-22
2018,5,Mexico,F2B,1996-12-01,1997-05-22
2018,5,Mexico,F3,1995-09-01,1998-09-22
2018,5,Mexico,F4,1998-01-08,1998-05-08
2018,5,Mexico,EB1,2018-05-01,2018-05-01
2018,5,Mexico,EB2,2018-05-01,2018-05-01
2018,5,Mexico,EB3,2018-05-01,2018-05-01
2018,5,Mexico,EB-Other,2018-05-01,2018-05-01
2018,5,Mexico,EB4,2016-10-22,2018-05-01
2018,5,Mexico,EB-Religious,2016-10-22,2018-05-01
2018,5,Mexico,EB5-Non-Regional-Center,2018-05-01,2018-05-01
2018,5,Mexico,EB5-Regional-Center,2018-05-01,2018-05-01
2018,5,Philippines,F1,2006-01-22,2007-10-08
2018,5,Philippines,F2A,2016-06-01,2017-09-22
2018,5,Philippines,F2B,2006-12-15,2007-09-08
2018,5,Philippines,F3,1995-04-01,1995-07-22
2018,5,Philippines,F4,1995-02-01,1995-10-15
2018,5,Philippines,EB1,2018-05-01,2018-05-01
2018,5,Philippines,EB2,2018-05-01,2018-05-01
2018,5,Philippines,EB3,2017-01-01,2017-07-01
2018,5,Philippines,EB-Other,2017-01-01,2017-07-01
2018,5,Philippines,EB4,2018-05-01,2018-05-01
2018,5,Philippines,EB-Religious,2018-05-01,2018-05-01
2018,5,Philippines,EB5-Non-Regional-Center,2018-05-01,2018-05-01
2018,5,Philippines,EB5-Regional-Center,2018-05-01,2018-05-01
2018,5,El Salvador/Guatemala/Honduras,EB1,2018-05-01,2018-05-01
2018,5,El Salvador/Guatemala/Honduras,EB2,2018-05-01,2018-05-01
2018,5,El Salvador/Guatemala/Honduras,EB3,2018-05-01,2018-05-01
2018,5,El Salvador/Guatemala/Honduras,EB-Other,2018-05-01,2018-05-01
2018,5,El Salvador/Guatemala/Honduras,EB4,2015-12-15,2016-04-15
2018,5,El Salvador/Guatemala/Honduras,EB-Religious,2015-12-15,2016-04-15
2018,5,El Salvador/Guatemala/Honduras,EB5-Non-Regional-Center,2018-05-01,2018-05-01
2018,5,El Salvador/Guatemala/Honduras,EB5-Regional-Center,2018-05-01,2018-05-01
2018,5,Vietnam,EB1,2018-05-01,
2018,5,Vietnam,EB2,2018-05-01,
2018,5,Vietnam,EB3,2018-05-01,
2018,5,Vietnam,EB-Other,2018-05-01,
2018,5,Vietnam,EB4,2018-05-01,
2018,5,Vietnam,EB-Religious,2018-05-01,
2018,5,Vietnam,EB5-Non-Regional-Center,2014-07-22,
2018,5,Vietnam,EB5-Regional-Center,2014-07-22,
