year,month,country,category,final_action_date,filing_date
2019,1,Rest-of-World,F1,2011-08-22,2012-03-08
2019,1,Rest-of-World,F2A,2016-11-08,2017-12-01
2019,1,Rest-of-World,F2B,2012-03-15,2014-03-22
2019,1,Rest-of-World,F3,2006-08-15,2007-01-08
2019,1,Rest-of-World,F4,2005-05-22,2006-05-15
2019,1,Rest-of-World,EB1,2017-10-01,2018-06-01
2019,1,Rest-of-World,EB2,2019-01-01,2019-01-01
2019,1,Rest-of-World,EB3,2019-01-01,2019-01-01
2019,1,Rest-of-World,EB-Other,2019-01-01,2019-01-01
2019,1,Rest-of-World,EB4,2019-01-01,2019-01-01
2019,1,Rest-of-World,EB-Religious,,2019-01-01
2019,1,Rest-of-World,EB5-Non-Regional-Center,2019-01-01,2019-01-01
2019,1,Rest-of-World,EB5-Regional-Center,,2019-01-01
2019,1,China,F1,2011-08-22,2012-03-08
2019,1,China,F2A,2016-11-08,2017-12-01
2019,1,China,F2B,2012-03-15,2014-03-22
2019,1,China,F3,2006-08-15,2007-01-08
2019,1,China,F4,2005-05-22,2006-05-15
2019,1,China,EB1,2016-12-15,2017-10-01
2019,1,China,EB2,2015-08-01,2015-09-08
2019,1,China,EB3,2015-06-08,2016-01-01
2019,1,China,EB-Other,2007-07-01,2008-06-01
2019,1,China,EB4,2019-01-01,2019-01-01
2019,1,China,EB-Religious,,2019-01-01
2019,1,China,EB5-Non-Regional-Center,2014-09-01,2014-10-01
2019,1,China,EB5-Regional-Center,,2014-10-01
2019,1,India,F1,2011-08-22,2012-03-08
2019,1,India,F2A,2016-11-08,2017-12-01
2019,1,India,F2B,2012-03-15,2014-03-22
2019,1,India,F3,2006-08-15,2007-01-08
2019,1,India,F4,2004-06-15,2005-01-01
2019,1,India,EB1,2016-12-15,2017-10-01
2019,1,India,EB2,2009-04-01,2009-05-22
2019,1,India,EB3,2009-03-01,2010-04-01
2019,1,India,EB-Other,2009-03-01,2010-04-01
2019,1,India,EB4,2019-01-01,2019-01-01
2019,1,India,EB-Religious,,2019-01-01
2019,1,India,EB5-Non-Regional-Center,2019-01-01,2019-01-01
2019,1,India,EB5-Regional-Center,,2019-01-01
2019,1,Mexico,F1,1997-08-01,1999-08-22
2019,1,Mexico,F2A,2016-10-15,2017-12-01
2019,1,Mexico,F2B,1997-06-08,1997-09-08
2019,1,Mexico,F3,1995-12-22,2000-05-01
2019,1,Mexico,F4,1998-02-08,1998-10-08
2019,1,Mexico,EB1,2017-10-01,2018-06-01
2019,1,Mexico,EB2,2019-01-01,2019-01-01
2019,1,Mexico,EB3,2019-01-01,2019-01-01
2019,1,Mexico,EB-Other,2019-01-01,2019-01-01
2019,1,Mexico,EB4,2017-04-15,2019-01-01
2019,1,Mexico,EB-Religious,,2019-01-01
2019,1,Mexico,EB5-Non-Regional-Center,2019-01-01,2019-01-01
2019,1,Mexico,EB5-Regional-Center,,2019-01-01
2019,1,Philippines,F1,2007-03-01,2008-02-15
2019,1,Philippines,F2A,2016-11-08,2017-12-01
2019,1,Philippines,F2B,2007-06-22,2007-12-15
2019,1,Philippines,F3,1995-07-22,1997-06-01
2019,1,Philippines,F4,1995-09-01,1997-04-22
2019,1,Philippines,EB1,2017-10-01,2018-06-01
2019,1,Philippines,EB2,2019-01-01,2019-01-01
2019,1,Philippines,EB3,2017-06-22,2017-08-01
2019,1,Philippines,EB-Other,2017-06-22,2017-08-01
2019,1,Philippines,EB4,2019-01-01,2019-01-01
2019,1,Philippines,EB-Religious,,2019-01-01
2019,1,Philippines,EB5-Non-Regional-Center,2019-01-01,2019-01-01
2019,1,Philippines,EB5-Regional-Center,,2019-01-01
2019,1,El Salvador/Guatemala/Honduras,EB1,2017-10-01,2018-06-01
2019,1,El Salvador/Guatemala/Honduras,EB2,2019-01-01,2019-01-01
2019,1,El Salvador/Guatemala/Honduras,EB3,2019-01-01,2019-01-01
2019,1,El Salvador/Guatemala/Honduras,EB-Other,2019-01-01,2019-01-01
2019,1,El Salvador/Guatemala/Honduras,EB4,2016-02-22,2016-05-01
2019,1,El Salvador/Guatemala/Honduras,EB-Religious,,2016-05-01
2019,1,El Salvador/Guatemala/Honduras,EB5-Non-Regional-Center,2019-01-01,2019-01-01
2019,1,El Salvador/Guatemala/Honduras,EB5-Regional-Center,,2019-01-01
2019,1,Vietnam,EB1,2017-10-01,
2019,1,Vietnam,EB2,2019-01-01,
2019,1,Vietnam,EB3,2019-01-01,
2019,1,Vietnam,EB-Other,2019-01-01,
2019,1,Vietnam,EB4,2019-01-01,
2019,1,Vietnam,EB-Religious,,
2019,1,Vietnam,EB5-Non-Regional-Center,2016-06-01,
2019,1,Vietnam,EB5-Regional-Center,,
