year,month,country,category,final_action_date,filing_date
2021,2,Rest-of-World,F1,2014-09-15,2015-08-08
2021,2,Rest-of-World,F2A,2021-02-01,2021-01-01
2021,2,Rest-of-World,F2B,2015-07-15,2016-05-22
2021,2,Rest-of-World,F3,2008-07-15,2009-06-22
2021,2,Rest-of-World,F4,2006-10-15,2007-10-01
2021,2,Rest-of-World,EB1,2021-02-01,2021-02-01
2021,2,Rest-of-World,EB2,2021-02-01,2021-02-01
2021,2,Rest-of-World,EB3,2021-02-01,2021-02-01
2021,2,Rest-of-World,EB-Other,2021-02-01,2021-02-01
2021,2,Rest-of-World,EB4,2021-02-01,2021-02-01
2021,2,Rest-of-World,EB-Religious,2021-02-01,2021-02-01
2021,2,Rest-of-World,EB5-Non-Regional-Center,2021-02-01,2021-02-01
2021,2,Rest-of-World,EB5-Regional-Center,2021-02-01,2021-02-01
2021,2,China,F1,2014-09-15,2015-08-08
2021,2,China,F2A,2021-02-01,2021-01-01
2021,2,China,F2B,2015-07-15,2016-05-22
2021,2,China,F3,2008-07-15,2009-06-22
2021,2,China,F4,2006-10-15,2007-10-01
2021,2,China,EB1,2020-01-01,2020-11-01
2021,2,China,EB2,2016-06-15,2016-10-01
2021,2,China,EB3,2018-01-01,2018-06-01
2021,2,China,EB-Other,2009-04-01,2009-07-01
2021,2,China,EB4,2021-02-01,2021-02-01
2021,2,China,EB-Religious,2021-02-01,2021-02-01
2021,2,China,EB5-Non-Regional-Center,2015-08-15,2015-12-15
2021,2,China,EB5-Regional-Center,2015-08-15,2015-12-15
2021,2,India,F1,2014-09-15,2015-08-08
2021,2,India,F2A,2021-02-01,2021-01-01
2021,2,India,F2B,2015-07-15,2016-05-22
2021,2,India,F3,2008-07-15,2009-06-22
2021,2,India,F4,2005-03-15,2005-12-01
2021,2,India,EB1,2020-01-01,2020-11-01
2021,2,India,EB2,2009-10-12,2011-05-15
2021,2,India,EB3,2010-04-01,2014-01-01
2021,2,India,EB-Other,2010-04-01,2014-01-01
2021,2,India,EB4,2021-02-01,2021-02-01
2021,2,India,EB-Religious,2021-02-01,2021-02-01
2021,2,India,EB5-Non-Regional-Center,2021-02-01,2021-02-01
2021,2,India,EB5-Regional-Center,2021-02-01,2021-02-01
2021,2,Mexico,F1,1998-01-22,2000-03-01
2021,2,Mexico,F2A,2021-02-01,2021-01-01
2021,2,Mexico,F2B,1999-06-01,1999-12-22
2021,2,Mexico,F3,1996-09-01,2000-09-08
2021,2,Mexico,F4,1998-07-08,1999-05-08
2021,2,Mexico,EB1,2021-02-01,2021-02-01
2021,2,Mexico,EB2,2021-02-01,2021-02-01
2021,2,Mexico,EB3,2021-02-01,2021-02-01
2021,2,Mexico,EB-Other,2021-02-01,2021-02-01
2021,2,Mexico,EB4,2018-12-15,2021-02-01
2021,2,Mexico,EB-Religious,2018-12-15,2021-02-01
2021,2,Mexico,EB5-Non-Regional-Center,2021-02-01,2021-02-01
2021,2,Mexico,EB5-Regional-Center,2021-02-01,2021-02-01
2021,2,Philippines,F1,2012-01-01,2012-10-22
2021,2,Philippines,F2A,2021-02-01,2021-01-01
2021,2,Philippines,F2B,2011-08-15,2012-04-15
2021,2,Philippines,F3,2002-03-01,2003-01-08
2021,2,Philippines,F4,2002-02-01,2002-10-01
2021,2,Philippines,EB1,2021-02-01,2021-02-01
2021,2,Philippines,EB2,2021-02-01,2021-02-01
2021,2,Philippines,EB3,2021-02-01,2021-02-01
2021,2,Philippines,EB-Other,2021-02-01,2021-02-01
2021,2,Philippines,EB4,2021-02-01,2021-02-01
2021,2,Philippines,EB-Religious,2021-02-01,2021-02-01
2021,2,Philippines,EB5-Non-Regional-Center,2021-02-01,2021-02-01
2021,2,Philippines,EB5-Regional-Center,2021-02-01,2021-02-01
2021,2,El Salvador/Guatemala/Honduras,EB1,2021-02-01,2021-02-01
2021,2,El Salvador/Guatemala/Honduras,EB2,2021-02-01,2021-02-01
2021,2,El Salvador/Guatemala/Honduras,EB3,2021-02-01,2021-02-01
2021,2,El Salvador/Guatemala/Honduras,EB-Other,2021-02-01,2021-02-01
2021,2,El Salvador/Guatemala/Honduras,EB4,2018-04-15,2018-09-01
2021,2,El Salvador/Guatemala/Honduras,EB-Religious,2018-04-15,2018-09-01
2021,2,El Salvador/Guatemala/Honduras,EB5-Non-Regional-Center,2021-02-01,2021-02-01
2021,2,El Salvador/Guatemala/Honduras,EB5-Regional-Center,2021-02-01,2021-02-01
2021,2,Vietnam,EB1,2021-02-01,
2021,2,Vietnam,EB2,2021-02-01,
2021,2,Vietnam,EB3,2021-02-01,
2021,2,Vietnam,EB-Other,2021-02-01,
2021,2,Vietnam,EB4,2021-02-01,
2021,2,Vietnam,EB-Religious,2021-02-01,
2021,2,Vietnam,EB5-Non-Regional-Center,2017-10-01,
2021,2,Vietnam,EB5-Regional-Center,2017-10-01,
