year,month,country,category,final_action_date,filing_date
2022,4,Rest-of-World,F1,2014-12-01,2016-05-15
2022,4,Rest-of-World,F2A,2022-04-01,2022-04-01
2022,4,Rest-of-World,F2B,2015-09-22,2016-09-22
2022,4,Rest-of-World,F3,2008-11-22,2009-08-22
2022,4,Rest-of-World,F4,2007-03-22,2007-10-01
2022,4,Rest-of-World,EB1,2022-04-01,2022-04-01
2022,4,Rest-of-World,EB2,2022-04-01,2022-04-01
2022,4,Rest-of-World,EB3,2022-04-01,2022-04-01
2022,4,Rest-of-World,EB-Other,2022-04-01,2022-04-01
2022,4,Rest-of-World,EB4,2022-04-01,2022-04-01
2022,4,Rest-of-World,EB-Religious,,2022-04-01
2022,4,Rest-of-World,EB5-Non-Regional-Center,2022-04-01,2022-04-01
2022,4,Rest-of-World,EB5-Regional-Center,,2022-04-01
2022,4,China,F1,2014-12-01,2016-05-15
2022,4,China,F2A,2022-04-01,2022-04-01
2022,4,China,F2B,2015-09-22,2016-09-22
2022,4,China,F3,2008-11-22,2009-08-22
2022,4,China,F4,2007-03-22,2007-10-01
2022,4,China,EB1,2022-04-01,2022-04-01
2022,4,China,EB2,2019-03-01,2019-04-01
2022,4,China,EB3,2018-03-22,2018-04-01
2022,4,China,EB-Other,2012-06-01,2015-08-01
2022,4,China,EB4,2022-04-01,2022-04-01
2022,4,China,EB-Religious,,2022-04-01
2022,4,China,EB5-Non-Regional-Center,2022-04-01,2022-04-01
2022,4,China,EB5-Regional-Center,,2015-12-15
2022,4,India,F1,2014-12-01,2016-05-15
2022,4,India,F2A,2022-04-01,2022-04-01
2022,4,India,F2B,2015-09-22,2016-09-22
2022,4,India,F3,2008-11-22,2009-08-22
2022,4,India,F4,2005-09-15,2006-02-22
2022,4,India,EB1,2022-04-01,2022-04-01
2022,4,India,EB2,2013-07-08,2014-09-01
2022,4,India,EB3,2012-01-15,2012-01-22
2022,4,India,EB-Other,2012-01-15,2012-01-22
2022,4,India,EB4,2022-04-01,2022-04-01
2022,4,India,EB-Religious,,2022-04-01
2022,4,India,EB5-Non-Regional-Center,2022-04-01,2022-04-01
2022,4,India,EB5-Regional-Center,,2022-04-01
2022,4,Mexico,F1,2000-01-01,2001-05-01
2022,4,Mexico,F2A,2022-04-01,2022-04-01
2022,4,Mexico,F2B,2001-01-01,2001-04-22
2022,4,Mexico,F3,1997-09-15,2001-03-01
2022,4,Mexico,F4,2000-01-01,2000-12-22
2022,4,Mexico,EB1,2022-04-01,2022-04-01
2022,4,Mexico,EB2,2022-04-01,2022-04-01
2022,4,Mexico,EB3,2022-04-01,2022-04-01
2022,4,Mexico,EB-Other,2022-04-01,2022-04-01
2022,4,Mexico,EB4,2020-04-01,2022-04-01
2022,4,Mexico,EB-Religious,,2022-04-01
2022,4,Mexico,EB5-Non-Regional-Center,2022-04-01,2022-04-01
2022,4,Mexico,EB5-Regional-Center,,2022-04-01
2022,4,Philippines,F1,2012-03-01,2015-04-22
2022,4,Philippines,F2A,2022-04-01,2022-04-01
2022,4,Philippines,F2B,2011-10-22,2013-10-01
2022,4,Philippines,F3,2002-06-08,2003-11-08
2022,4,Philippines,F4,2002-08-22,2004-04-22
2022,4,Philippines,EB1,2022-04-01,2022-04-01
2022,4,Philippines,EB2,2022-04-01,2022-04-01
2022,4,Philippines,EB3,2022-04-01,2022-04-01
2022,4,Philippines,EB-Other,2022-04-01,2022-04-01
2022,4,Philippines,EB4,2022-04-01,2022-04-01
2022,4,Philippines,EB-Religious,,2022-04-01
2022,4,Philippines,EB5-Non-Regional-Center,2022-04-01,2022-04-01
2022,4,Philippines,EB5-Regional-Center,,2022-04-01
2022,4,El Salvador/Guatemala/Honduras,EB1,2022-04-01,2022-04-01
2022,4,El Salvador/Guatemala/Honduras,EB2,2022-04-01,2022-04-01
2022,4,El Salvador/Guatemala/Honduras,EB3,2022-04-01,2022-04-01
2022,4,El Salvador/Guatemala/Honduras,EB-Other,2022-04-01,2022-04-01
2022,4,El Salvador/Guatemala/Honduras,EB4,2017-05-01,2017-06-15
2022,4,El Salvador/Guatemala/Honduras,EB-Religious,,2017-06-15
2022,4,El Salvador/Guatemala/Honduras,EB5-Non-Regional-Center,2022-04-01,2022-04-01
2022,4,El Salvador/Guatemala/Honduras,EB5-Regional-Center,,2022-04-01
